filename,title
/xiaolin/xyq/RS/Datasets/RSITMD/images/industrial_1954.tif,Between the two roads is a factory where there is a car parked in concrete.
/xiaolin/xyq/RS/Datasets/RSITMD/images/industrial_1954.tif,There are many residential areas near the park.
/xiaolin/xyq/RS/Datasets/RSITMD/images/industrial_1954.tif,the light grey workshops are surrounded by some cars .
/xiaolin/xyq/RS/Datasets/RSITMD/images/industrial_1954.tif,many cars are parking in this prosperous industrial area where roofs are white .
/xiaolin/xyq/RS/Datasets/RSITMD/images/industrial_1954.tif,There are many green trees on both sides of a river.
/xiaolin/xyq/RS/Datasets/RSITMD/images/resort_3373.tif,"It's a road, a building and some trees."
/xiaolin/xyq/RS/Datasets/RSITMD/images/resort_3373.tif,the house is white and the road is grey .
/xiaolin/xyq/RS/Datasets/RSITMD/images/resort_3373.tif,Black and White House Between Green Grass Forest and Red Grass Forest
/xiaolin/xyq/RS/Datasets/RSITMD/images/resort_3373.tif,There are several buildings and some green tropical plants in the resort.
/xiaolin/xyq/RS/Datasets/RSITMD/images/resort_3373.tif,A pale green L-shaped pond is flanked by a white building
/xiaolin/xyq/RS/Datasets/RSITMD/images/beach_741.tif,white waves are between green ocean and white beach .
/xiaolin/xyq/RS/Datasets/RSITMD/images/beach_741.tif,The beach is curved and the waves are raging.
/xiaolin/xyq/RS/Datasets/RSITMD/images/beach_741.tif,The beach is curved and the waves are surging.
/xiaolin/xyq/RS/Datasets/RSITMD/images/beach_741.tif,There are many cars in the park.
/xiaolin/xyq/RS/Datasets/RSITMD/images/beach_741.tif,"The white waves were on the dark blue sea, and the beach beside them turned black."
/xiaolin/xyq/RS/Datasets/RSITMD/images/commercial_1360.tif,"On the farm, the swimming pool is built on a square near the road."
/xiaolin/xyq/RS/Datasets/RSITMD/images/commercial_1360.tif,there we can see buildings together with street gardens in the blocks .
/xiaolin/xyq/RS/Datasets/RSITMD/images/commercial_1360.tif,Tree-covered commercial advertisements spread over several blocks.
/xiaolin/xyq/RS/Datasets/RSITMD/images/commercial_1360.tif,neatly seated blocks compose this commercial area .
/xiaolin/xyq/RS/Datasets/RSITMD/images/commercial_1360.tif,several buildings are around a playground.
/xiaolin/xyq/RS/Datasets/RSITMD/images/resort_3416.tif,The river flows through the wheat fields.
/xiaolin/xyq/RS/Datasets/RSITMD/images/resort_3416.tif,It is part of the mountain.
/xiaolin/xyq/RS/Datasets/RSITMD/images/resort_3416.tif,Many tall buildings have been built in the city.
/xiaolin/xyq/RS/Datasets/RSITMD/images/resort_3416.tif,There are brown mountains and green mountains without snow.
/xiaolin/xyq/RS/Datasets/RSITMD/images/resort_3416.tif,In the heart of the land is a tourist attraction.
/xiaolin/xyq/RS/Datasets/RSITMD/images/farmland_1741.tif,Green farmland is very extensive and luxurious growth.
/xiaolin/xyq/RS/Datasets/RSITMD/images/farmland_1741.tif,Green farmland is very broad and lush.
/xiaolin/xyq/RS/Datasets/RSITMD/images/farmland_1741.tif,The green agricultural land is very large and prosperous.
/xiaolin/xyq/RS/Datasets/RSITMD/images/farmland_1741.tif,Green Earth is too vast and lush.
/xiaolin/xyq/RS/Datasets/RSITMD/images/farmland_1741.tif,The green agricultural land is very large and prosperous.
/xiaolin/xyq/RS/Datasets/RSITMD/images/parking_2636.tif,There are many green trees near the park.
/xiaolin/xyq/RS/Datasets/RSITMD/images/parking_2636.tif,There is an asphalt road in the parking lot.
/xiaolin/xyq/RS/Datasets/RSITMD/images/parking_2636.tif,A paved road is in the parking lot.
/xiaolin/xyq/RS/Datasets/RSITMD/images/parking_2636.tif,An asphalt road is in the parking lot.
/xiaolin/xyq/RS/Datasets/RSITMD/images/parking_2636.tif,There is an asphalt road in the parking lot.
/xiaolin/xyq/RS/Datasets/RSITMD/images/resort_3409.tif,Many luxury villas were built in the sea.
/xiaolin/xyq/RS/Datasets/RSITMD/images/resort_3409.tif,Many luxury villas are built by the sea.
/xiaolin/xyq/RS/Datasets/RSITMD/images/resort_3409.tif,Many luxury villas have been built by the sea.
/xiaolin/xyq/RS/Datasets/RSITMD/images/resort_3409.tif,"The Yellow river meanders through the rain forest, surrounded by several lakes and tributaries."
/xiaolin/xyq/RS/Datasets/RSITMD/images/resort_3409.tif,Many Luxo Houses were built by the sea.
/xiaolin/xyq/RS/Datasets/RSITMD/images/storagetanks_4488.tif,The river flows through a wide area.
/xiaolin/xyq/RS/Datasets/RSITMD/images/storagetanks_4488.tif,Simple yellow beach area
/xiaolin/xyq/RS/Datasets/RSITMD/images/storagetanks_4488.tif,A bridge is on the clear surface of the river.
/xiaolin/xyq/RS/Datasets/RSITMD/images/storagetanks_4488.tif,Some plants are located near khaki wasteland.
/xiaolin/xyq/RS/Datasets/RSITMD/images/storagetanks_4488.tif,A large number of warehouses of different sizes are on the road on the ground.
/xiaolin/xyq/RS/Datasets/RSITMD/images/desert_1650.tif,The park is well equipped.
/xiaolin/xyq/RS/Datasets/RSITMD/images/desert_1650.tif,There are small pits in the layered desert
/xiaolin/xyq/RS/Datasets/RSITMD/images/desert_1650.tif,There are small holes in the desert in layers
/xiaolin/xyq/RS/Datasets/RSITMD/images/desert_1650.tif,Some ripples are part of the Khaki desert.
/xiaolin/xyq/RS/Datasets/RSITMD/images/desert_1650.tif,Green tree on land.
